dataset,split_strategy,metric,model_a,model_b,n_pairs,mean_delta,median_delta,statistic,p_value,p_holm
esol,random,mae,hybrid_gated,rf_rdkit_morgan,10,-0.09002073573482867,-0.10591135107211164,1.0,0.00390625,0.0546875
esol,random,mae,hybrid_gated,xgb_rdkit_morgan,10,-0.008655535749823856,-0.021162252444662133,20.0,0.4921875,1.0
esol,random,mae,mean_baseline,node_gnn,10,1.105189900234477,1.10499623114066,0.0,0.001953125,0.0546875
esol,random,mae,mean_baseline,rf_rdkit,10,1.162657799403567,1.1914624672072938,0.0,0.001953125,0.0546875
esol,random,mae,mean_baseline,rf_rdkit_morgan,10,1.129242457474526,1.1542906786412437,0.0,0.001953125,0.0546875
esol,random,mae,mean_baseline,xgb_rdkit_morgan,10,1.2106076574595306,1.2234692499526036,0.0,0.001953125,0.0546875
esol,random,mae,node_gnn,rf_rdkit,10,0.05746789916908964,0.06214367660322806,3.0,0.009765625,0.068359375
esol,random,mae,node_gnn,rf_rdkit_morgan,10,0.024052557240048834,0.026186648186395628,16.0,0.275390625,1.0
esol,random,mae,node_gnn,xgb_rdkit_morgan,10,0.10541775722505364,0.10538445689634329,0.0,0.001953125,0.0546875
esol,random,mae,rf_rdkit,rf_rdkit_morgan,10,-0.0334153419290408,-0.03987257336454281,0.0,0.001953125,0.0546875
esol,random,mae,rf_rdkit,xgb_rdkit_morgan,10,0.047949858055964016,0.03954437467848562,0.0,0.001953125,0.0546875
esol,random,mae,rf_rdkit_morgan,xgb_rdkit_morgan,10,0.08136519998500483,0.07605326149365413,0.0,0.001953125,0.0546875
esol,random,r2,edge_gnn,hybrid_concat,10,-0.028531180142612755,-0.027954899112412113,2.0,0.005859375,0.076171875
esol,random,r2,edge_gnn,hybrid_gated,10,-0.028956391711189956,-0.023899337523732578,3.0,0.009765625,0.107421875
esol,random,r2,edge_gnn,mean_baseline,10,0.8979644126573545,0.8975047995864043,0.0,0.001953125,0.0546875
esol,random,r2,edge_gnn,node_gnn,10,0.0066258069532537656,0.006056997966078725,21.0,0.556640625,1.0
esol,random,r2,edge_gnn,rf_rdkit,10,-0.013640143439203056,-0.005186127056004575,7.0,0.037109375,0.296875
esol,random,r2,edge_gnn,rf_rdkit_morgan,10,0.0007517362416631701,0.0034636408389859263,21.0,0.556640625,1.0
esol,random,r2,edge_gnn,xgb_rdkit_morgan,10,-0.029982496476323072,-0.0232420584577282,0.0,0.001953125,0.0546875
esol,random,r2,hybrid_concat,hybrid_gated,10,-0.00042521156857719953,-0.0028738614915402305,26.0,0.921875,1.0
esol,random,r2,hybrid_concat,mean_baseline,10,0.9264955927999674,0.9271646271172216,0.0,0.001953125,0.0546875
esol,random,r2,hybrid_concat,node_gnn,10,0.035156987095866524,0.029253364917884106,0.0,0.001953125,0.0546875
esol,random,r2,hybrid_concat,rf_rdkit,10,0.014891036703409698,0.01098821613434059,5.0,0.01953125,0.17578125
esol,random,r2,hybrid_concat,rf_rdkit_morgan,10,0.029282916384275926,0.024232791574419654,1.0,0.00390625,0.0625
esol,random,r2,hybrid_concat,xgb_rdkit_morgan,10,-0.0014513163337103174,-0.004461181181435514,25.0,0.845703125,1.0
esol,random,r2,hybrid_gated,mean_baseline,10,0.9269208043685444,0.9354408920333668,0.0,0.001953125,0.0546875
esol,random,r2,hybrid_gated,node_gnn,10,0.03558219866444372,0.03694894588713832,0.0,0.001953125,0.0546875
esol,random,r2,hybrid_gated,rf_rdkit,10,0.0153162482719869,0.018507957996156177,4.0,0.013671875,0.13671875
esol,random,r2,hybrid_gated,rf_rdkit_morgan,10,0.029708127952853124,0.03560864021815541,1.0,0.00390625,0.0625
esol,random,r2,hybrid_gated,xgb_rdkit_morgan,10,-0.0010261047651331178,0.0036860575142231844,27.0,1.0,1.0
esol,random,r2,mean_baseline,node_gnn,10,-0.8913386057041007,-0.8978297844067449,0.0,0.001953125,0.0546875
esol,random,r2,mean_baseline,rf_rdkit,10,-0.9116045560965576,-0.9158727633494211,0.0,0.001953125,0.0546875
esol,random,r2,mean_baseline,rf_rdkit_morgan,10,-0.8972126764156914,-0.9006259661897429,0.0,0.001953125,0.0546875
esol,random,r2,mean_baseline,xgb_rdkit_morgan,10,-0.9279469091336777,-0.9325042862982703,0.0,0.001953125,0.0546875
esol,random,r2,node_gnn,rf_rdkit,10,-0.020265950392456822,-0.016213600603359357,9.0,0.064453125,0.451171875
esol,random,r2,node_gnn,rf_rdkit_morgan,10,-0.005874070711590596,-0.0036397427514127667,23.0,0.6953125,1.0
esol,random,r2,node_gnn,xgb_rdkit_morgan,10,-0.03660830342957684,-0.027399962070514428,1.0,0.00390625,0.0625
esol,random,r2,rf_rdkit,rf_rdkit_morgan,10,0.014391879680866226,0.013160777936676082,0.0,0.001953125,0.0546875
esol,random,r2,rf_rdkit,xgb_rdkit_morgan,10,-0.016342353037120016,-0.018944493927912198,2.0,0.005859375,0.076171875
esol,random,r2,rf_rdkit_morgan,xgb_rdkit_morgan,10,-0.030734232717986244,-0.0306345200381255,0.0,0.001953125,0.0546875
esol,scaffold,rmse,edge_gnn,hybrid_concat,10,0.2994986228419998,0.28198731280781153,0.0,0.001953125,0.0546875
esol,scaffold,rmse,edge_gnn,hybrid_gated,10,0.3310195661106833,0.3003716519712041,0.0,0.001953125,0.0546875
esol,scaffold,rmse,edge_gnn,mean_baseline,10,-1.105657253129191,-1.1243430656319995,0.0,0.001953125,0.0546875
esol,scaffold,rmse,edge_gnn,node_gnn,10,-0.026513244022352823,0.001255010986001559,23.0,0.6953125,1.0
esol,scaffold,rmse,edge_gnn,rf_rdkit,10,0.22330166074523072,0.2289735967504709,1.0,0.00390625,0.0546875
esol,scaffold,rmse,edge_gnn,rf_rdkit_morgan,10,0.06981860766412831,0.09758959079852103,12.0,0.130859375,0.5234375
esol,scaffold,rmse,edge_gnn,xgb_rdkit_morgan,10,0.3248807816704926,0.3486341362569358,0.0,0.001953125,0.0546875
esol,scaffold,rmse,hybrid_concat,hybrid_gated,10,0.0315209432686836,0.036175895594314555,7.0,0.037109375,0.259765625
esol,scaffold,rmse,hybrid_concat,mean_baseline,10,-1.4051558759711908,-1.4989035744049,0.0,0.001953125,0.0546875
esol,scaffold,rmse,hybrid_concat,node_gnn,10,-0.3260118668643526,-0.29844009628990087,0.0,0.001953125,0.0546875
esol,scaffold,rmse,hybrid_concat,rf_rdkit,10,-0.07619696209676904,-0.11126070337629879,9.0,0.064453125,0.322265625
esol,scaffold,rmse,hybrid_concat,rf_rdkit_morgan,10,-0.2296800151778715,-0.2768161889907382,1.0,0.00390625,0.0546875
esol,scaffold,rmse,hybrid_concat,xgb_rdkit_morgan,10,0.02538215882849283,0.03555012356581161,20.0,0.4921875,1.0
esol,scaffold,rmse,hybrid_gated,mean_baseline,10,-1.4366768192398744,-1.556290313017766,0.0,0.001953125,0.0546875
esol,scaffold,rmse,hybrid_gated,node_gnn,10,-0.3575328101330362,-0.30970614328661983,0.0,0.001953125,0.0546875
esol,scaffold,rmse,hybrid_gated,rf_rdkit,10,-0.10771790536545263,-0.12020922182311994,3.0,0.009765625,0.078125
esol,scaffold,rmse,hybrid_gated,rf_rdkit_morgan,10,-0.26120095844655505,-0.28335760233313695,0.0,0.001953125,0.0546875
esol,scaffold,rmse,hybrid_gated,xgb_rdkit_morgan,10,-0.00613878444019077,0.004950481677757079,24.0,0.76953125,1.0
esol,scaffold,rmse,mean_baseline,node_gnn,10,1.079144009106838,1.1109593208020363,0.0,0.001953125,0.0546875
esol,scaffold,rmse,mean_baseline,rf_rdkit,10,1.3289589138744218,1.373550168580404,0.0,0.001953125,0.0546875
esol,scaffold,rmse,mean_baseline,rf_rdkit_morgan,10,1.1754758607933193,1.1718038959992305,0.0,0.001953125,0.0546875
esol,scaffold,rmse,mean_baseline,xgb_rdkit_morgan,10,1.4305380347996834,1.4844736685243745,0.0,0.001953125,0.0546875
esol,scaffold,rmse,node_gnn,rf_rdkit,10,0.24981490476758356,0.29583008382780174,0.0,0.001953125,0.0546875
esol,scaffold,rmse,node_gnn,rf_rdkit_morgan,10,0.09633185168648113,0.1467152927011055,8.0,0.048828125,0.29296875
esol,scaffold,rmse,node_gnn,xgb_rdkit_morgan,10,0.3513940256928454,0.3515605934996238,0.0,0.001953125,0.0546875
esol,scaffold,rmse,rf_rdkit,rf_rdkit_morgan,10,-0.1534830530811024,-0.14991556281806556,0.0,0.001953125,0.0546875
