dataset,split_strategy,model,similarity_bin,n,mean_similarity,mae,rmse,empirical_coverage
esol,scaffold,hybrid_gated,"(0.0,0.2]",142,0.17373746989256714,0.5981036562794689,0.7748681024854539,0.9436619718309859
esol,scaffold,hybrid_gated,"(0.2,0.4]",598,0.3031366793852631,0.7223891169896748,0.9254769590663763,0.8929765886287625
esol,scaffold,hybrid_gated,"(0.4,0.6]",292,0.4798828912073811,0.6519366554387709,0.8444447083636992,0.886986301369863
esol,scaffold,hybrid_gated,"(0.6,0.8]",41,0.6889350051254206,0.3680783437848441,0.4676691354689583,1.0
esol,scaffold,hybrid_gated,"(0.8,1.0]",37,0.9393742341110762,0.4331323695344887,0.5932681180588739,0.972972972972973
esol,scaffold,mean_baseline,"(0.0,0.2]",142,0.17373746989256714,1.6000404064000908,1.9973491588741314,0.9577464788732394
esol,scaffold,mean_baseline,"(0.2,0.4]",598,0.3031366793852631,1.7064323968854944,2.0977661794631306,0.9515050167224081
esol,scaffold,mean_baseline,"(0.4,0.6]",292,0.4798828912073811,2.297851464486644,2.847837494815371,0.8253424657534246
esol,scaffold,mean_baseline,"(0.6,0.8]",41,0.6889350051254206,1.5189760121991578,2.046576308133004,0.9512195121951219
esol,scaffold,mean_baseline,"(0.8,1.0]",37,0.9393742341110762,2.0652836513818014,2.754613546729255,0.7837837837837838
esol,scaffold,node_gnn,"(0.0,0.2]",142,0.17373746989256714,0.9615156767671593,1.1578023556552446,0.9225352112676056
esol,scaffold,node_gnn,"(0.2,0.4]",598,0.3031366793852631,1.0524581675895672,1.3178756762289385,0.8595317725752508
esol,scaffold,node_gnn,"(0.4,0.6]",292,0.4798828912073811,0.8655466041071342,1.1328622882296766,0.9246575342465754
esol,scaffold,node_gnn,"(0.6,0.8]",41,0.6889350051254206,0.557354912978538,0.690083821720906,1.0
esol,scaffold,node_gnn,"(0.8,1.0]",37,0.9393742341110762,0.9470370630908372,1.1997606856746588,0.8918918918918919
esol,scaffold,rf_rdkit,"(0.0,0.2]",142,0.17373746989256714,0.6663837884154277,0.8790630685459765,0.8943661971830986
esol,scaffold,rf_rdkit,"(0.2,0.4]",598,0.3031366793852631,0.7740664847009133,1.0143357447526127,0.8879598662207357
esol,scaffold,rf_rdkit,"(0.4,0.6]",292,0.4798828912073811,0.8133845422891648,1.0855226880865798,0.8732876712328768
esol,scaffold,rf_rdkit,"(0.6,0.8]",41,0.6889350051254206,0.5069632315881898,0.6250350028111614,0.975609756097561
esol,scaffold,rf_rdkit,"(0.8,1.0]",37,0.9393742341110762,0.6076250739830574,0.7882885297334736,0.8918918918918919
esol,scaffold,rf_rdkit_morgan,"(0.0,0.2]",142,0.17373746989256714,0.7877328654486214,1.0336158777870976,0.9014084507042254
esol,scaffold,rf_rdkit_morgan,"(0.2,0.4]",598,0.3031366793852631,0.8956150661929445,1.1689862458931597,0.8779264214046822
