dataset,split_strategy,family_id,metric,metric_role,contrast,question,model_a,model_b,n_pairs,mean_a,mean_b,mean_delta,median_delta,ci_low,ci_high,rank_biserial,statistic,p_value,p_holm,p_corrected_t,p_corrected_t_holm,corrected_ci_low,corrected_ci_high,favors,significant_holm
freesolv,random,freesolv:random:r2,r2,secondary,concat_vs_edge,Effect of adding RDKit descriptors to edge-aware GNN,hybrid_concat,edge_gnn,10,0.9160758795051708,0.8716681698323351,0.04440770967283555,0.032341193412725844,0.014599089753213737,0.07421632959245736,0.9272727272727272,2.0,0.005859375,0.017578125,0.058823872396519226,0.17647161718955767,-0.002045669361128738,0.09086108870679983,hybrid_concat,True
freesolv,random,freesolv:random:r2,r2,secondary,gated_vs_concat,Effect of gated rather than concatenated fusion,hybrid_gated,hybrid_concat,10,0.9221132718453238,0.9160758795051708,0.006037392340153036,0.001098517379350017,-0.0067145442505512016,0.018789328930857274,0.2727272727272727,20.0,0.4921875,0.984375,0.5092399825453833,1.0,-0.013835065541572933,0.025909850221879006,hybrid_gated,False
freesolv,random,freesolv:random:r2,r2,secondary,morgan_vs_rdkit_rf,Effect of adding Morgan fingerprints to Random Forest,rf_rdkit_morgan,rf_rdkit,10,0.8388754782564838,0.8819235796486342,-0.04304810139215039,-0.04150150624939031,-0.05360445962407266,-0.03249174316022811,-1.0,0.0,0.001953125,0.009765625,0.00022359806592065607,0.0008943922636826243,-0.059498997525151094,-0.02659720525914968,rf_rdkit,True
freesolv,random,freesolv:random:r2,r2,secondary,xgb_vs_rf_morgan,Effect of XGBoost rather than Random Forest,xgb_rdkit_morgan,rf_rdkit_morgan,10,0.9066868683597107,0.8388754782564838,0.06781139010322684,0.07284394352683593,0.053768938838072766,0.08185384136838092,1.0,0.0,0.001953125,0.009765625,6.256560226306274e-05,0.0003128280113153137,0.045927810355317136,0.08969496985113655,xgb_rdkit_morgan,True
freesolv,scaffold,freesolv:scaffold:rmse,rmse,primary,edge_vs_node,Effect of explicit bond-edge attributes,edge_gnn,node_gnn,10,2.241717373032098,2.2151081993923,0.02660917363979809,-0.011814943002335099,-0.1638848842351693,0.2171032315147655,0.01818181818181818,27.0,1.0,1.0,0.8438269854485752,0.8438269854485752,-0.27025437448974104,0.3234727217693372,node_gnn,False
freesolv,scaffold,freesolv:scaffold:rmse,rmse,primary,concat_vs_edge,Effect of adding RDKit descriptors to edge-aware GNN,hybrid_concat,edge_gnn,10,1.5893144285211414,2.241717373032098,-0.6524029445109567,-0.6423634359180846,-0.9698512288042529,-0.33495466021766057,-1.0,0.0,0.001953125,0.009765625,0.015368206365638029,0.061472825462552116,-1.1471103651739,-0.15769552384801344,hybrid_concat,True
freesolv,scaffold,freesolv:scaffold:rmse,rmse,primary,gated_vs_concat,Effect of gated rather than concatenated fusion,hybrid_gated,hybrid_concat,10,1.6961105476126719,1.5893144285211414,0.10679611909153038,0.12477783671029619,0.025693360955096625,0.1878988772279641,0.8181818181818182,5.0,0.01953125,0.05859375,0.08825390783637001,0.26476172350911004,-0.01959340093893895,0.2331856391219997,hybrid_concat,False
freesolv,scaffold,freesolv:scaffold:rmse,rmse,primary,morgan_vs_rdkit_rf,Effect of adding Morgan fingerprints to Random Forest,rf_rdkit_morgan,rf_rdkit,10,2.720303208189658,2.4405428541536893,0.2797603540359685,0.24632217881517837,0.17780215063120006,0.3817185574407369,1.0,0.0,0.001953125,0.009765625,0.003191252551502193,0.015956262757510966,0.12086996994052707,0.4386507381314099,rf_rdkit,True
freesolv,scaffold,freesolv:scaffold:rmse,rmse,primary,xgb_vs_rf_morgan,Effect of XGBoost rather than Random Forest,xgb_rdkit_morgan,rf_rdkit_morgan,10,3.2289875637936327,2.720303208189658,0.5086843556039741,0.5843559505821527,0.03306531592668055,0.9843033952812676,0.6363636363636364,10.0,0.083984375,0.16796875,0.1549552729518738,0.3099105459037476,-0.23251438440732553,1.2498830956152736,rf_rdkit_morgan,False
freesolv,scaffold,freesolv:scaffold:mae,mae,primary,edge_vs_node,Effect of explicit bond-edge attributes,edge_gnn,node_gnn,10,1.6923785879030107,1.6510103942401309,0.04136819366287978,0.14101372781158206,-0.15673943259301362,0.23947581991877318,0.2727272727272727,20.0,0.4921875,0.4921875,0.768689049328845,0.768689049328845,-0.2673602438427472,0.3500966311685068,node_gnn,False
