dataset,split_strategy,metric,contrast,seed,model_a,model_b,value_a,value_b,difference_a_minus_b
esol,random,rmse,xgb_vs_rf_morgan,2027,xgb_rdkit_morgan,rf_rdkit_morgan,0.6824277267543761,0.8215895685180178,-0.13916184176364166
esol,random,rmse,xgb_vs_rf_morgan,2028,xgb_rdkit_morgan,rf_rdkit_morgan,0.6622397312465057,0.667320819387682,-0.005081088141176249
esol,random,rmse,xgb_vs_rf_morgan,2029,xgb_rdkit_morgan,rf_rdkit_morgan,0.5440597871863748,0.641650524463755,-0.09759073727738021
esol,random,rmse,xgb_vs_rf_morgan,2030,xgb_rdkit_morgan,rf_rdkit_morgan,0.508434606857676,0.5859548917570612,-0.07752028489938512
esol,random,rmse,xgb_vs_rf_morgan,2031,xgb_rdkit_morgan,rf_rdkit_morgan,0.5744594898614294,0.7237313424253332,-0.14927185256390385
esol,random,rmse,xgb_vs_rf_morgan,2032,xgb_rdkit_morgan,rf_rdkit_morgan,0.5515033737543222,0.6530935086377171,-0.10159013488339486
esol,random,rmse,xgb_vs_rf_morgan,2033,xgb_rdkit_morgan,rf_rdkit_morgan,0.4927650154841821,0.5624460714872077,-0.0696810560030256
esol,random,rmse,xgb_vs_rf_morgan,2034,xgb_rdkit_morgan,rf_rdkit_morgan,0.55751965797319,0.7627470124540152,-0.20522735448082519
esol,random,rmse,xgb_vs_rf_morgan,2035,xgb_rdkit_morgan,rf_rdkit_morgan,0.6282175018154733,0.761388478344816,-0.13317097652934273
esol,random,mae,edge_vs_node,2026,edge_gnn,node_gnn,0.5401020847648771,0.5110566195995819,0.02904546516529516
esol,random,mae,edge_vs_node,2027,edge_gnn,node_gnn,0.613324877792269,0.6391612910535545,-0.025836413261285496
esol,random,mae,edge_vs_node,2028,edge_gnn,node_gnn,0.4609191221777486,0.5132588260093325,-0.05233970383158387
esol,random,mae,edge_vs_node,2029,edge_gnn,node_gnn,0.4604627278390779,0.513374306097033,-0.05291157825795517
esol,random,mae,edge_vs_node,2030,edge_gnn,node_gnn,0.4325258968337441,0.4635241076436648,-0.030998210809920712
esol,random,mae,edge_vs_node,2031,edge_gnn,node_gnn,0.5373050779506002,0.5202003727229889,0.017104705227611317
esol,random,mae,edge_vs_node,2032,edge_gnn,node_gnn,0.4680570621173918,0.5055855414155382,-0.037528479298146455
esol,random,mae,edge_vs_node,2033,edge_gnn,node_gnn,0.5126447775466133,0.5467913919052676,-0.03414661435865429
esol,random,mae,edge_vs_node,2034,edge_gnn,node_gnn,0.4747952563850876,0.5008667273225712,-0.026071470937483576
esol,random,mae,edge_vs_node,2035,edge_gnn,node_gnn,0.5545529039377332,0.5743263165869364,-0.019773412649203292
esol,random,mae,concat_vs_edge,2026,hybrid_concat,edge_gnn,0.4224763351212864,0.5401020847648771,-0.11762574964359068
esol,random,mae,concat_vs_edge,2027,hybrid_concat,edge_gnn,0.5046975395199859,0.613324877792269,-0.1086273382722831
esol,random,mae,concat_vs_edge,2028,hybrid_concat,edge_gnn,0.3921525328301068,0.4609191221777486,-0.0687665893476418
esol,random,mae,concat_vs_edge,2029,hybrid_concat,edge_gnn,0.413515110600215,0.4604627278390779,-0.04694761723886287
esol,random,mae,concat_vs_edge,2030,hybrid_concat,edge_gnn,0.4013232893958127,0.4325258968337441,-0.031202607437931407
esol,random,mae,concat_vs_edge,2031,hybrid_concat,edge_gnn,0.377851229880364,0.5373050779506002,-0.15945384807023621
esol,random,mae,concat_vs_edge,2032,hybrid_concat,edge_gnn,0.4043948622733704,0.4680570621173918,-0.06366219984402138
esol,random,mae,concat_vs_edge,2033,hybrid_concat,edge_gnn,0.3543118817239476,0.5126447775466133,-0.1583328958226657
esol,random,mae,concat_vs_edge,2034,hybrid_concat,edge_gnn,0.4249522922214151,0.4747952563850876,-0.04984296416367251
esol,random,mae,concat_vs_edge,2035,hybrid_concat,edge_gnn,0.4126246535786247,0.5545529039377332,-0.14192825035910844
esol,random,mae,gated_vs_concat,2026,hybrid_gated,hybrid_concat,0.4386463952556542,0.4224763351212864,0.01617006013436778
esol,random,mae,gated_vs_concat,2027,hybrid_gated,hybrid_concat,0.5031855273879807,0.5046975395199859,-0.001512012132005136
esol,random,mae,gated_vs_concat,2028,hybrid_gated,hybrid_concat,0.3888541857795635,0.3921525328301068,-0.0032983470505433266
esol,random,mae,gated_vs_concat,2029,hybrid_gated,hybrid_concat,0.4529990973863219,0.413515110600215,0.03948398678610687
esol,random,mae,gated_vs_concat,2030,hybrid_gated,hybrid_concat,0.3966046052590056,0.4013232893958127,-0.004718684136807094
esol,random,mae,gated_vs_concat,2031,hybrid_gated,hybrid_concat,0.401824868129648,0.377851229880364,0.023973638249284
esol,random,mae,gated_vs_concat,2032,hybrid_gated,hybrid_concat,0.3496829419924842,0.4043948622733704,-0.05471192028088623
esol,random,mae,gated_vs_concat,2033,hybrid_gated,hybrid_concat,0.3319607463106062,0.3543118817239476,-0.02235113541334144
esol,random,mae,gated_vs_concat,2034,hybrid_gated,hybrid_concat,0.4201387877916903,0.4249522922214151,-0.004813504429724835
esol,random,mae,gated_vs_concat,2035,hybrid_gated,hybrid_concat,0.4288286105217355,0.4126246535786247,0.016203956943110776
esol,random,mae,morgan_vs_rdkit_rf,2026,rf_rdkit_morgan,rf_rdkit,0.4990796456967927,0.4818672878576431,0.017212357839149595
esol,random,mae,morgan_vs_rdkit_rf,2027,rf_rdkit_morgan,rf_rdkit,0.5928861614430141,0.552780132406702,0.04010602903631211
esol,random,mae,morgan_vs_rdkit_rf,2028,rf_rdkit_morgan,rf_rdkit,0.4640345112944172,0.4381652098151079,0.02586930147930927
esol,random,mae,morgan_vs_rdkit_rf,2029,rf_rdkit_morgan,rf_rdkit,0.4738191623256484,0.4332818164627097,0.04053734586293872
esol,random,mae,morgan_vs_rdkit_rf,2030,rf_rdkit_morgan,rf_rdkit,0.4464558411357702,0.4246078195710844,0.021848021564685793
esol,random,mae,morgan_vs_rdkit_rf,2031,rf_rdkit_morgan,rf_rdkit,0.5440186669170392,0.4994319284702279,0.04458673844681127
esol,random,mae,morgan_vs_rdkit_rf,2032,rf_rdkit_morgan,rf_rdkit,0.5005209573149546,0.4499626674727278,0.05055828984222682
esol,random,mae,morgan_vs_rdkit_rf,2033,rf_rdkit_morgan,rf_rdkit,0.4348370946867915,0.4331844815001361,0.0016526131866553828
esol,random,mae,morgan_vs_rdkit_rf,2034,rf_rdkit_morgan,rf_rdkit,0.5632910660400922,0.5108444343208257,0.052446631719266446
esol,random,mae,morgan_vs_rdkit_rf,2035,rf_rdkit_morgan,rf_rdkit,0.5693944243930349,0.5300321698469691,0.03936225454606579
esol,random,mae,xgb_vs_rf_morgan,2026,xgb_rdkit_morgan,rf_rdkit_morgan,0.4786809468680313,0.4990796456967927,-0.020398698828761386
esol,random,mae,xgb_vs_rf_morgan,2027,xgb_rdkit_morgan,rf_rdkit_morgan,0.5113838621006521,0.5928861614430141,-0.08150229934236197
esol,random,mae,xgb_vs_rf_morgan,2028,xgb_rdkit_morgan,rf_rdkit_morgan,0.419262857451464,0.4640345112944172,-0.044771653842953174
esol,random,mae,xgb_vs_rf_morgan,2029,xgb_rdkit_morgan,rf_rdkit_morgan,0.409195641676954,0.4738191623256484,-0.06462352064869442
esol,random,mae,xgb_vs_rf_morgan,2030,xgb_rdkit_morgan,rf_rdkit_morgan,0.3883267581798041,0.4464558411357702,-0.05812908295596608
esol,random,mae,xgb_vs_rf_morgan,2031,xgb_rdkit_morgan,rf_rdkit_morgan,0.4050703334482381,0.5440186669170392,-0.13894833346880103
esol,random,mae,xgb_vs_rf_morgan,2032,xgb_rdkit_morgan,rf_rdkit_morgan,0.4147107056238779,0.5005209573149546,-0.0858102516910767
esol,random,mae,xgb_vs_rf_morgan,2033,xgb_rdkit_morgan,rf_rdkit_morgan,0.3641476244058582,0.4348370946867915,-0.07068947028093331
esol,random,mae,xgb_vs_rf_morgan,2034,xgb_rdkit_morgan,rf_rdkit_morgan,0.4207038293122428,0.5632910660400922,-0.14258723672784934
esol,random,mae,xgb_vs_rf_morgan,2035,xgb_rdkit_morgan,rf_rdkit_morgan,0.4633122117953071,0.5693944243930349,-0.10608221259772777
esol,random,r2,edge_vs_node,2026,edge_gnn,node_gnn,0.8310417869385343,0.8458020077022406,-0.014760220763706311
esol,random,r2,edge_vs_node,2027,edge_gnn,node_gnn,0.8641305516990685,0.8373448966645798,0.02678565503448871
esol,random,r2,edge_vs_node,2028,edge_gnn,node_gnn,0.9024044212964274,0.894174810787299,0.008229610509128404
