dataset,split_strategy,model,n_seeds,rmse_mean,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_std,mae_ci_low,mae_ci_high,r2_mean,r2_std,r2_ci_low,r2_ci_high
esol,random,edge_gnn,10,0.6736328547112711,0.07932126106584153,0.6168898428161174,0.7303758666064248,0.5054689787345142,0.05575550027069614,0.465583896569037,0.5453540608999915,0.8878151954239512,0.02732422816301996,0.8682686201067338,0.9073617707411685
esol,random,hybrid_concat,10,0.5734174277322407,0.06271592202641474,0.5285531597952187,0.6182816956692627,0.41082997271451294,0.03932648970308296,0.3826974967171332,0.43896244871189266,0.9178682869441133,0.023782867431084504,0.9008550484830818,0.9348815254051447
esol,random,hybrid_gated,10,0.5659583553235923,0.0692529702907531,0.5164177647658967,0.6154989458812878,0.411272576581469,0.049683314185117955,0.3757312746667564,0.4468138784961816,0.9198126380940972,0.024910189470075523,0.9019929620272006,0.9376323141609938
esol,random,mean_baseline,10,2.0442451228788707,0.16790754683931292,1.9241312996798077,2.1643589460779338,1.6380356696582858,0.1445335516041932,1.5346425953712042,1.7414287439453675,-0.01408232604288645,0.017080559862127028,-0.026301022498406268,-0.001863629587366633
esol,random,node_gnn,10,0.7050413306905169,0.08112948366482611,0.6470047942716153,0.7630778671094185,0.5288145500356469,0.04833256358252075,0.4942395168927702,0.5633895831785237,0.8773110524871133,0.027093421343671556,0.857929586422066,0.8966925185521606
esol,random,rf_rdkit,10,0.6456925923976697,0.06923150313886811,0.596167358515327,0.6952178262800125,0.4754157947724134,0.04596792138353568,0.44253232475677207,0.5082992647880548,0.8974792707632971,0.02172070894612625,0.881941211615723,0.9130173299108713
esol,random,rf_rdkit_morgan,10,0.6909803113265923,0.08282004035718753,0.6317344235028453,0.7502261991503394,0.5088337531247555,0.055477450398515,0.4691475758555522,0.5485199303939589,0.8831853965655858,0.022251942088400922,0.8672673161209956,0.899103477010176
esol,random,xgb_rdkit_morgan,10,0.5896256050960091,0.07239124358684293,0.5378400290630769,0.6414111811289414,0.427479477086243,0.04422456870261282,0.39584312645047315,0.45911582772201287,0.9138121115639507,0.024397490435185545,0.8963591982923562,0.9312650248355452
esol,scaffold,edge_gnn,10,1.1832424736675131,0.1111167317488284,1.103754352240135,1.2627305950948913,0.9312329519727278,0.09078150753154998,0.866291773624001,0.9961741303214546,0.6857024177203295,0.046762728942432434,0.6522503766284996,0.7191544588121593
esol,scaffold,hybrid_concat,10,0.8631534831444163,0.0701919143745371,0.812941212452049,0.9133657538367836,0.6768341008416521,0.05738544704154054,0.6357830249972579,0.7178851766860462,0.8315587922051197,0.029837220787105188,0.8102145302595652,0.8529030541506742
esol,scaffold,hybrid_gated,10,0.8590885414457397,0.09194777743869123,0.793313063864693,0.9248640190267863,0.665227048925753,0.054308165186045435,0.6263773279083599,0.7040767699431462,0.8325316060131959,0.038690601607294504,0.8048540169565742,0.8602091950698175
esol,scaffold,mean_baseline,10,2.321852096517618,0.18640664289016662,2.188504817204035,2.455199375831201,1.8534400452952533,0.14577037379517768,1.7491622017123711,1.9577178888781355,-0.20358132523060726,0.10431454476163345,-0.2782034552208716,-0.12895919524034294
esol,scaffold,node_gnn,10,1.2264307580015221,0.08310044857964378,1.166984278219345,1.2858772377836993,0.9698529202569925,0.07397085603047278,0.9169373575537246,1.0227684829602606,0.6598776212154823,0.05908422119743118,0.6176113155469573,0.7021439268840074
esol,scaffold,rf_rdkit,10,0.9930642058646064,0.11596067546704472,0.9101109358461833,1.0760174758830297,0.7552199661144703,0.07505973824580162,0.701525463998659,0.8089144682302816,0.7792944514830324,0.03626226623319041,0.7533539889063319,0.805234914059733
esol,scaffold,rf_rdkit_morgan,10,1.1461276757399645,0.12193095926170461,1.0589035219783212,1.233351829501608,0.8730613636174551,0.08308018613732941,0.8136293787133198,0.9324933485215905,0.7058165582594208,0.04513255182078406,0.6735306756295463,0.7381024408892953
esol,scaffold,xgb_rdkit_morgan,10,0.8913140617179343,0.09961082614333568,0.8200567693250952,0.9625713541107733,0.6781351488214128,0.06382776339266849,0.6324755174846777,0.7237947801581479,0.8211629604549218,0.035436857032540625,0.7958129600501723,0.8465129608596712
freesolv,random,edge_gnn,10,1.342632468354004,0.29784123689556163,1.129569682652655,1.5556952540553532,0.8583289490188359,0.11100275634284476,0.7789223606852409,0.937735537352431,0.8716681698323351,0.058410357212758585,0.8298839174189424,0.9134524222457278
freesolv,random,hybrid_concat,10,1.102004265363389,0.2141392527060652,0.9488182720969229,1.2551902586298551,0.6944445823967025,0.11617250538963518,0.6113397783802593,0.7775493864131456,0.9160758795051708,0.026140336708266,0.8973762091160522,0.9347755498942893
freesolv,random,hybrid_gated,10,1.0648588994158685,0.20152948535888998,0.9206933903041106,1.2090244085276265,0.6818629064800565,0.10518434358929227,0.606618559891606,0.7571072530685071,0.9221132718453238,0.02394406082474269,0.9049847225769392,0.9392418211137084
freesolv,random,mean_baseline,10,3.8953135727082198,0.5092851511990832,3.53099292268064,4.2596342227358,2.935159377729727,0.2792352478227329,2.7354065148043696,3.1349122406550847,-0.02507877039066881,0.027477902356972207,-0.044735277603802165,-0.005422263177535459
freesolv,random,node_gnn,10,1.4008787687127007,0.36849518688722527,1.13727319194946,1.6644843454759413,0.8967006097817265,0.1820019711908815,0.7665042427868385,1.0268969767766145,0.8650314036413553,0.05166685510594751,0.8280711620306168,0.9019916452520939
freesolv,random,rf_rdkit,10,1.31832909832984,0.3479902276585938,1.0693918857578102,1.5672663109018696,0.7880229808580173,0.13345534635300743,0.6925547772033276,0.8834911845127069,0.8819235796486342,0.040090540383247705,0.8532445347206735,0.9106026245765949
freesolv,random,rf_rdkit_morgan,10,1.5409105763422812,0.34884295498736473,1.2913633593866902,1.7904577932978722,0.9349829569495152,0.14006694539472703,0.8347851002607055,1.035180813638325,0.8388754782564838,0.042683560721232035,0.8083414983223778,0.8694094581905898
freesolv,random,xgb_rdkit_morgan,10,1.1530186879477162,0.3460883228867219,0.9054420160887773,1.4005953598066552,0.656623782657777,0.12495039589903222,0.5672396540454271,0.7460079112701269,0.9066868683597107,0.04399157608538135,0.8752171906017217,0.9381565461176997
freesolv,scaffold,edge_gnn,10,2.241717373032098,0.37085826418639045,1.9764213526035155,2.5070133934606806,1.6923785879030107,0.30182177384291264,1.4764682976068322,1.9082888781991891,0.6103563459858921,0.1723431571421143,0.4870694783244469,0.7336432136473372
freesolv,scaffold,hybrid_concat,10,1.5893144285211414,0.2656330228584831,1.399292011160767,1.7793368458815157,1.2023864963114304,0.19023885374164978,1.0662978185000354,1.3384751741228254,0.8050417702598143,0.07222521259686486,0.753374965642171,0.8567085748774576
freesolv,scaffold,hybrid_gated,10,1.6961105476126719,0.23138861338387637,1.5305851050614498,1.861635990163894,1.31556008508205,0.18748390235558302,1.18144218077034,1.44967798939376,0.775254513816907,0.08177842336203507,0.7167537539040371,0.833755273729777
freesolv,scaffold,mean_baseline,10,4.333699139064758,0.7213445480348631,3.817680335030981,4.849717943098535,2.898278365204151,0.36799343001431495,2.6350317236850738,3.161525006723228,-0.3744570868009717,0.2179324363377355,-0.530356560174035,-0.2185576134279083
freesolv,scaffold,node_gnn,10,2.2151081993923,0.3828532075594417,1.9412315133848659,2.488984885399734,1.6510103942401309,0.25624655653608663,1.4677026503863098,1.834318138093952,0.6266368183264653,0.14402637081828812,0.5236065593171654,0.7296670773357653
freesolv,scaffold,rf_rdkit,10,2.4405428541536893,0.39407545632425744,2.1586382549916254,2.722447453315753,1.9545268031394898,0.27019045580662576,1.7612441946460826,2.1478094116328967,0.5554801097030417,0.11445996146929313,0.4736003858068236,0.6373598335992599
freesolv,scaffold,rf_rdkit_morgan,10,2.720303208189658,0.5160129308313326,2.3511697945401804,3.0894366218391354,2.009144012795554,0.317950852658643,1.7816956745813126,2.2365923510097954,0.45511368505681044,0.12930266190602854,0.36261613289965744,0.5476112372139634
freesolv,scaffold,xgb_rdkit_morgan,10,3.2289875637936327,0.5643197017117936,2.8252975679888213,3.632677559598444,2.63462203053989,0.46845258422284275,2.299511239287995,2.969732821791785,0.20032008117768774,0.30499167471449995,-0.017857819598279173,0.4184979819536546
lipophilicity,random,edge_gnn,10,0.6185197031385876,0.06977367024518502,0.5686066262725413,0.6684327800046339,0.4412070551717937,0.023002995425467493,0.42475170353576736,0.45766240680782005,0.7334338941290912,0.0759069006840253,0.6791333685126026,0.7877344197455798
lipophilicity,random,hybrid_concat,10,0.6246273645090641,0.04198584628809937,0.5945924994131073,0.6546622296050209,0.45319592821827764,0.02902642538100723,0.43243167436581886,0.4739601820707364,0.7315447843280454,0.0387523735137505,0.7038230063115443,0.7592665623445465
lipophilicity,random,hybrid_gated,10,0.6219060483782717,0.04431929144243233,0.5902019371764178,0.6536101595801256,0.45153474802149596,0.027378658528273685,0.4319492355665988,0.4711202604763931,0.7335439504503773,0.043200836261842006,0.7026399338859972,0.7644479670147575
lipophilicity,random,mean_baseline,10,1.2098032867833557,0.03364027836458144,1.1857384813358822,1.2338680922308292,0.9826385537222118,0.027721899183646776,0.9628075016940775,1.002469605750346,-0.0013094862686776163,0.002109704977179568,-0.002818678293700994,0.00019970575634576109
lipophilicity,random,node_gnn,10,0.632071934625046,0.053135792142444765,0.5940608787607872,0.6700829904893048,0.45844810301323696,0.019967419678246737,0.4441642714516357,0.47273193457483825,0.723668934458231,0.057706505566050253,0.6823881871811024,0.7649496817353596
lipophilicity,random,rf_rdkit,10,0.7441678212592293,0.0317689884312595,0.7214416559886642,0.7668939865297945,0.5725534979384284,0.023753024525043017,0.5555616078063285,0.5895453880705283,0.6206073908519827,0.027532907625778907,0.6009115352399427,0.6403032464640227
lipophilicity,random,rf_rdkit_morgan,10,0.766416318748417,0.033833356115345256,0.7422133937985419,0.7906192436982921,0.5907984191130676,0.02466191296431467,0.5731563493591617,0.6084404888669736,0.597698976057853,0.02809658096366455,0.5775998928308351,0.617798059284871
lipophilicity,random,xgb_rdkit_morgan,10,0.639352891573895,0.03709192530240352,0.612818926652417,0.6658868564953729,0.4781833516458368,0.027212323466473776,0.4587168281261062,0.4976498751655674,0.7197680026057515,0.02815674263062568,0.699625882314797,0.7399101228967059
lipophilicity,scaffold,edge_gnn,10,0.6821891188403406,0.014067822631967687,0.6721256047683435,0.6922526329123377,0.5164694740417002,0.011004242950954344,0.5085975128515615,0.5243414352318388,0.6648067904602113,0.016373485709229727,0.6530939043830124,0.6765196765374102
lipophilicity,scaffold,hybrid_concat,10,0.744951259325654,0.02418592188572592,0.7276496930770054,0.7622528255743025,0.5635795010589091,0.022952608545244935,0.5471601940256211,0.5799988080921971,0.6001158100352104,0.027635585621938772,0.5803465030095244,0.6198851170608964
lipophilicity,scaffold,hybrid_gated,10,0.7518570494906651,0.02469749042311885,0.7341895291559062,0.769524569825424,0.5671934138937523,0.02362616583134619,0.5502922730042731,0.5840945547832316,0.5927079114953677,0.02711481011162747,0.5733111448274525,0.612104678163283
lipophilicity,scaffold,mean_baseline,10,1.182293703570978,0.033098753132508575,1.1586162819380348,1.2059711252039211,0.9600240591803784,0.031240316278553865,0.9376760831852549,0.9823720351755019,-0.005403543639148261,0.006237344577415882,-0.009865471157631636,-0.0009416161206648854
lipophilicity,scaffold,node_gnn,10,0.7025736416882824,0.023644213253722946,0.6856595904505707,0.7194876929259941,0.5336478642497912,0.01728626739173631,0.5212820134923516,0.5460137150072307,0.6440139298777601,0.02968786667782002,0.6227765094257204,0.6652513503297998
lipophilicity,scaffold,rf_rdkit,10,0.8391432820183242,0.02380870669176704,0.8221115592637178,0.8561750047729306,0.6644034615028198,0.016027588060778516,0.6529380156972057,0.675868907308434,0.4931045671516525,0.022344397263964682,0.4771203482587284,0.5090887860445766
lipophilicity,scaffold,rf_rdkit_morgan,10,0.8677614291357019,0.027209691300238148,0.8482967885542656,0.8872260697171381,0.6896438780120528,0.020400681905873966,0.6750501093238145,0.7042376467002912,0.4581974251080541,0.018905076512206576,0.4446735480668092,0.471721302149299
lipophilicity,scaffold,xgb_rdkit_morgan,10,0.7421561989387582,0.022173669862082527,0.726294111071812,0.7580182868057044,0.5705024228231712,0.01605833391817017,0.5590149827561414,0.581989862890201,0.6034674879213286,0.0190872571608214,0.5898132866949597,0.6171216891476976
