dataset,model,metric,n_pairs,random_mean,scaffold_mean,mean_gap,gap_std,ci_low,ci_high
esol,edge_gnn,rmse,10,0.6736328547112711,1.1832424736675131,0.509609618956242,0.11160786700974192,0.42977016052819494,0.5894490773842891
esol,edge_gnn,mae,10,0.5054689787345142,0.9312329519727278,0.42576397323821363,0.09526978236841718,0.3576120764889602,0.49391586998746706
esol,edge_gnn,r2,10,0.8878151954239512,0.6857024177203295,-0.20211277770362165,0.0498151195668088,-0.23774836750837322,-0.1664771878988701
esol,hybrid_concat,rmse,10,0.5734174277322407,0.8631534831444163,0.2897360554121756,0.07106483540290655,0.23889933463378174,0.34057277619056947
esol,hybrid_concat,mae,10,0.41082997271451294,0.6768341008416521,0.26600412812713925,0.05613562354060372,0.22584712215540675,0.30616113409887175
esol,hybrid_concat,r2,10,0.9178682869441133,0.8315587922051197,-0.0863094947389938,0.039157598482807775,-0.11432115323558889,-0.05829783624239871
esol,hybrid_gated,rmse,10,0.5659583553235923,0.8590885414457397,0.2931301861221475,0.11129928956438832,0.21351147070066628,0.37274890154362866
esol,hybrid_gated,mae,10,0.411272576581469,0.665227048925753,0.2539544723442841,0.07405768860307599,0.2009767933605397,0.3069321513280285
esol,hybrid_gated,r2,10,0.9198126380940972,0.8325316060131959,-0.08728103208090134,0.0489869678276684,-0.12232419781985256,-0.052237866341950115
esol,mean_baseline,rmse,10,2.0442451228788707,2.321852096517618,0.2776069736387466,0.20992374719363857,0.12743657135282682,0.42777737592466636
esol,mean_baseline,mae,10,1.6380356696582858,1.8534400452952533,0.2154043756369674,0.14381041509314577,0.11252860204703577,0.31828014922689907
esol,mean_baseline,r2,10,-0.01408232604288645,-0.20358132523060726,-0.1894989991877208,0.10202080331467366,-0.2624802853933508,-0.11651771298209088
esol,node_gnn,rmse,10,0.7050413306905169,1.2264307580015221,0.5213894273110053,0.10901925657649196,0.44340174923329706,0.5993771053887136
esol,node_gnn,mae,10,0.5288145500356469,0.9698529202569925,0.44103837022134595,0.08997380458660661,0.37667498775227154,0.5054017526904204
esol,node_gnn,r2,10,0.8773110524871133,0.6598776212154823,-0.21743343127163092,0.07470418488941626,-0.2708735858385046,-0.16399327670475722
esol,rf_rdkit,rmse,10,0.6456925923976697,0.9930642058646064,0.34737161346693696,0.11911026746175646,0.2621652610640512,0.4325779658698227
esol,rf_rdkit,mae,10,0.4754157947724134,0.7552199661144703,0.2798041713420568,0.07996231932699241,0.22260257399264788,0.33700576869146576
esol,rf_rdkit,r2,10,0.8974792707632971,0.7792944514830324,-0.11818481928026463,0.046190993772621376,-0.15122786566997373,-0.08514177289055552
esol,rf_rdkit_morgan,rmse,10,0.6909803113265923,1.1461276757399645,0.45514736441337195,0.13211980704322904,0.3606345480271511,0.5496601807995928
esol,rf_rdkit_morgan,mae,10,0.5088337531247555,0.8730613636174551,0.3642276104926997,0.09635096239955228,0.29530228414155707,0.4331529368438423
esol,rf_rdkit_morgan,r2,10,0.8831853965655858,0.7058165582594208,-0.17736883830616484,0.05313126235243574,-0.21537665375385806,-0.13936102285847163
esol,xgb_rdkit_morgan,rmse,10,0.5896256050960091,0.8913140617179343,0.30168845662192506,0.10264586354002085,0.22826002926743438,0.37511688397641574
esol,xgb_rdkit_morgan,mae,10,0.427479477086243,0.6781351488214128,0.2506556717351698,0.07432575535431794,0.1974862293496586,0.303825114120681
esol,xgb_rdkit_morgan,r2,10,0.9138121115639507,0.8211629604549218,-0.09264915110902892,0.04416396215714206,-0.12424214643394821,-0.061056155784109646
freesolv,edge_gnn,rmse,10,1.342632468354004,2.241717373032098,0.8990849046780944,0.48920624189074385,0.5491278410889484,1.2490419682672405
freesolv,edge_gnn,mae,10,0.8583289490188359,1.6923785879030107,0.8340496388841746,0.345575321747664,0.5868399459328406,1.0812593318355086
freesolv,edge_gnn,r2,10,0.8716681698323351,0.6103563459858921,-0.26131182384644314,0.19151351614623985,-0.39831234021176526,-0.12431130748112101
freesolv,hybrid_concat,rmse,10,1.102004265363389,1.5893144285211414,0.48731016315775255,0.38438707719246296,0.21233621291545102,0.7622841134000541
freesolv,hybrid_concat,mae,10,0.6944445823967025,1.2023864963114304,0.507941913914728,0.23673190698949484,0.33859410938200346,0.6772897184474524
freesolv,hybrid_concat,r2,10,0.9160758795051708,0.8050417702598143,-0.11103410924535653,0.07313409371046221,-0.1633510882443341,-0.058717130246378965
freesolv,hybrid_gated,rmse,10,1.0648588994158685,1.6961105476126719,0.6312516481968032,0.2689205979431279,0.43887744129567297,0.8236258550979335
freesolv,hybrid_gated,mae,10,0.6818629064800565,1.31556008508205,0.6336971786019931,0.1800663445410483,0.5048854754984784,0.7625088817055079
freesolv,hybrid_gated,r2,10,0.9221132718453238,0.775254513816907,-0.1468587580284167,0.07621211272991193,-0.20137761918972108,-0.0923398968671123
freesolv,mean_baseline,rmse,10,3.8953135727082198,4.333699139064758,0.4383855663565381,1.0316029737602088,-0.2995787451609356,1.1763498778740118
freesolv,mean_baseline,mae,10,2.935159377729727,2.898278365204151,-0.036881012525576254,0.4691292549030439,-0.37247586482163303,0.29871383977048055
freesolv,mean_baseline,r2,10,-0.02507877039066881,-0.3744570868009717,-0.3493783164103029,0.22480035137387835,-0.5101908002342121,-0.18856583258639364
freesolv,node_gnn,rmse,10,1.4008787687127007,2.2151081993923,0.8142294306795996,0.5065500197313959,0.45186537583621567,1.1765934855229836
freesolv,node_gnn,mae,10,0.8967006097817265,1.6510103942401309,0.7543097844584044,0.29465349199670327,0.5435273740849826,0.9650921948318261
freesolv,node_gnn,r2,10,0.8650314036413553,0.6266368183264653,-0.23839458531488997,0.14572142355873166,-0.3426374120080806,-0.1341517586216993
freesolv,rf_rdkit,rmse,10,1.31832909832984,2.4405428541536893,1.1222137558238496,0.645222160054525,0.6606496277321311,1.5837778839155683
freesolv,rf_rdkit,mae,10,0.7880229808580173,1.9545268031394898,1.1665038222814725,0.31136194755364216,0.9437689028369953,1.3892387417259497
freesolv,rf_rdkit,r2,10,0.8819235796486342,0.5554801097030417,-0.3264434699455925,0.1358259800975352,-0.4236075228209991,-0.22927941707018584
freesolv,rf_rdkit_morgan,rmse,10,1.5409105763422812,2.720303208189658,1.1793926318473766,0.7682219364469325,0.6298397642783279,1.7289454994164255
freesolv,rf_rdkit_morgan,mae,10,0.9349829569495152,2.009144012795554,1.0741610558460386,0.3372920266839274,0.8328768752228877,1.3154452364691895
